"","Year","Country","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income","protest.ratio"
"211",2019,"Uganda",2,1086,-1.169366,-0.5854658,-0.6912174,-0.314339,662.0798,0.00184162062615101
"212",2019,"Ukraine",1,18805,-0.7559236,-0.297047,-1.423576,-0.6982756,3238.332,5.31773464504121e-05
"213",2019,"United States",37,145670,1.215634,1.488845,0.1349753,1.46136,55401.59,0.000253998764330336
"214",2019,"Vietnam",1,2166,-0.5156115,0.0383097,0.0254956,-0.0165804,2147.994,0.000461680517082179
"215",2020,"Afghanistan",1,2426,-1.475405,-1.523115,-2.729808,-1.807697,475.7459,0.000412201154163232
"216",2020,"Bangladesh",5,3674,-0.9782742,-0.7878783,-0.9173985,-0.5731802,2032.311,0.00136091453456723
"217",2020,"Belarus",4,15867,-0.1682376,-0.7293182,-0.7303549,-0.9959167,5148.214,0.000252095544211256
"218",2020,"Canada",3,11989,1.597707,1.644323,1.109246,1.655119,34808.03,0.000250229376928851
"219",2020,"China",4,20424,-0.0658865,0.6479592,-0.291068,-0.0595887,7540.217,0.000195848021934978
"220",2020,"India",185,50935,-0.2448308,0.3865438,-0.8619818,-0.0177096,1681.879,0.0036320801020909
"221",2020,"Iraq",3,9488,-1.283775,-1.32672,-2.528343,-1.753684,3222.077,0.000316188870151771
"222",2020,"Ireland",1,3095,1.566898,1.480219,0.9751874,1.498885,41458.79,0.000323101777059774
"223",2020,"Mexico",3,10851,-0.8476247,-0.1550609,-0.8500293,-0.670108,6267.608,0.000276472214542438
"224",2020,"Nigeria",6,15934,-1.09688,-1.029475,-1.859349,-0.8124883,1730.381,0.000376553282289444
"225",2020,"Pakistan",26,12976,-0.8403147,-0.5459959,-1.853356,-0.6917597,1100.083,0.00200369913686806
"226",2020,"Poland",1,5657,0.6507944,0.3764992,0.5743839,0.5398862,13298.48,0.000176772140710624
"227",2020,"Qatar",1,437,0.7839146,0.9082767,0.6707044,1.000929,37833.3,0.0022883295194508
"228",2020,"South Africa",22,8200,0.0640369,0.2993964,-0.2368584,-0.1154166,4550.767,0.00268292682926829
"229",2020,"Thailand",1,4359,-0.4222212,0.3007005,-0.6245449,0.1213088,5716.334,0.000229410415232852
"230",2020,"Tunisia",4,1530,-0.0680283,-0.2039159,-0.6339517,0.1375134,3357.415,0.00261437908496732
"231",2020,"Ukraine",2,13476,-0.7841346,-0.3556524,-1.164059,-0.6700379,3286.591,0.000148411991688928
"232",2020,"United Arab Emirates",1,938,1.114396,1.325503,0.6264683,0.9169419,33375.8,0.00106609808102345
"233",2020,"United States",19,246280,1.068838,1.318942,-0.0220327,1.368086,53302.99,7.71479616696443e-05
"234",2020,"Vietnam",2,1857,-0.3527095,0.2003077,-0.0734304,-0.133932,2235.496,0.00107700592353258
